table,model,method,loop_guidance_scale,geneval,dpg_bench,image_reward,clip_score,openclip_score,pickscore,time_seconds
main,Scale-RAE DiT2.4B,w/o Loop,0.0,0.4471,0.7656,0.0994,0.3204,0.3490,0.2122,1.3054
main,Scale-RAE DiT2.4B,Dense Token Loop,1.0,0.5422,0.8007,0.4816,0.3302,0.3622,0.2165,2.1812
main,Scale-RAE DiT2.4B,Sparse Token Loop,1.0,0.5082,0.7893,0.2798,0.3249,0.3555,0.2144,1.6884
main,Scale-RAE DiT9.8B,w/o Loop,0.0,0.5321,0.8003,0.4609,0.3285,0.3604,0.2175,1.6853
main,Scale-RAE DiT9.8B,Dense Token Loop,1.0,0.5977,0.8178,0.7211,0.3344,0.3682,0.2221,4.0384
main,Scale-RAE DiT9.8B,Sparse Token Loop,1.0,0.5857,0.8206,0.6365,0.3328,0.3663,0.2205,2.4410
main,RAEv2 RAE-SigLIP2-B proxy,w/o Loop,0.0,0.3829,0.7131,-0.3385,0.3076,0.3176,0.2055,0.8025
main,RAEv2 RAE-SigLIP2-B proxy,Dense Token Loop,1.0,0.3795,0.7226,-0.2538,0.3101,0.3202,0.2062,1.1023
main,RAEv2 RAE-SigLIP2-B proxy,Sparse Token Loop,1.0,0.3815,0.7152,-0.2931,0.3086,0.3187,0.2059,1.3572
loop_guidance,Scale-RAE DiT2.4B,w/o Loop,0.0,0.4471,0.7656,0.0994,0.3204,0.3490,0.2122,
loop_guidance,Scale-RAE DiT2.4B,Loop Guidance (Dense Token Loop),2.8,0.5691,0.8053,0.5622,0.3306,0.3627,0.2171,
loop_guidance,Scale-RAE DiT9.8B,w/o Loop,0.0,0.5321,0.8003,0.4609,0.3285,0.3604,0.2175,
loop_guidance,Scale-RAE DiT9.8B,Loop Guidance (Dense Token Loop),6.0,0.6432,0.8264,0.7975,0.3332,0.3661,0.2229,
loop_guidance,RAEv2 RAE-SigLIP2-B proxy,w/o Loop,0.0,0.3829,0.7131,-0.3385,0.3076,0.3176,0.2055,
loop_guidance,RAEv2 RAE-SigLIP2-B proxy,Loop Guidance (Dense Token Loop),9.0,0.4532,0.7521,0.0460,0.3159,0.3297,0.2090,
loop_guidance,RAEv2 RAE-SigLIP2-B proxy,Loop Guidance (Sparse Token Loop),6.0,0.4114,0.7429,-0.1296,0.3129,0.3251,0.2074,
vae_transfer,PixArt-alpha,w/o Loop,0.0,0.4778,0.7038,,,,,
vae_transfer,PixArt-alpha,Dense Token Loop,1.0,0.4710,0.7170,,,,,
vae_transfer,PixArt-alpha,Loop Guidance (Dense Token Loop),3.0,0.3928,0.6986,,,,,
vae_transfer,FLUX.2,w/o Loop,0.0,0.8459,0.8740,,,,,
vae_transfer,FLUX.2,Dense Token Loop,1.0,0.8482,0.8740,,,,,
vae_transfer,FLUX.2,Loop Guidance (Dense Token Loop),3.0,0.8310,0.8720,,,,,
