ablation,setting,loop_calls,geneval,dpg_bench,time_seconds
outer_sampling_steps,15,,0.4418,0.7645,0.8562
outer_sampling_steps,25,,0.4471,0.7656,1.3054
outer_sampling_steps,35,,0.4770,0.7673,1.7575
outer_sampling_steps,50,,0.4742,0.7738,2.4032
sampling_progress,w/o Loop,0,0.4471,0.7656,1.3054
sampling_progress,0-20%,5,0.5082,0.7942,1.6416
sampling_progress,20-40%,5,0.5099,0.7914,1.6408
sampling_progress,40-60%,5,0.4820,0.7816,1.6392
sampling_progress,60-80%,5,0.4723,0.7761,1.6389
sampling_progress,80-100%,5,0.4705,0.7684,1.6385
sampling_progress,0-30%,8,0.5182,0.7946,1.8407
sampling_progress,18-48%,7,0.5043,0.7933,1.7731
sampling_progress,35-65%,7,0.4961,0.7885,1.7727
sampling_progress,52-82%,7,0.4773,0.7794,1.7728
sampling_progress,70-100%,8,0.4687,0.7750,1.8401
sampling_progress,0-40%,10,0.5309,0.7999,1.9771
sampling_progress,15-55%,10,0.5286,0.7972,1.9758
sampling_progress,30-70%,9,0.4993,0.7916,1.9080
sampling_progress,45-85%,10,0.4984,0.7831,1.9759
sampling_progress,60-100%,10,0.4784,0.7780,1.9767
sampling_progress,0-50%,13,0.5422,0.8007,2.1812
sampling_progress,25-75%,13,0.4907,0.7956,2.1856
sampling_progress,50-100%,13,0.4946,0.7831,2.1849
sampling_progress,0-100%,25,0.5597,0.7987,2.9957
loop_count,1,,0.4471,0.7656,1.3054
loop_count,2,,0.5180,0.7977,1.5949
loop_count,3,,0.5278,0.7962,1.8881
loop_count,4,,0.5422,0.8007,2.1812
loop_count,5,,0.5322,0.7999,2.4744
loop_count,6,,0.5308,0.7996,2.7676
loop_count,7,,0.5268,0.7990,3.0607
loop_count,8,,0.5376,0.8037,3.3537
layer_range,w/o Loop,,0.4471,0.7656,
layer_range,0-3,,0.4605,0.7650,
layer_range,10-13,,0.4617,0.7726,
layer_range,18-21,,0.4990,0.7889,
layer_range,28-31,,0.5090,0.7807,
layer_range,0-7,,0.4592,0.7695,
layer_range,8-15,,0.4611,0.7767,
layer_range,12-19,,0.5113,0.7942,
layer_range,16-23,,0.5282,0.8009,
layer_range,24-31,,0.5421,0.7850,
layer_range,0-15,,0.4735,0.7773,
layer_range,4-19,,0.5249,0.7978,
layer_range,12-27,,0.5422,0.8007,
layer_range,16-31,,0.5407,0.8049,
layer_range,0-31,,0.5395,0.8087,
loop_guidance_scale,0.0,,0.4471,0.7656,
loop_guidance_scale,0.5,,0.5131,0.7895,
loop_guidance_scale,1.0,,0.5405,0.8011,
loop_guidance_scale,1.5,,0.5530,0.8065,
loop_guidance_scale,2.0,,0.5582,0.8083,
loop_guidance_scale,2.4,,0.5577,0.8019,
loop_guidance_scale,2.8,,0.5691,0.8053,
loop_guidance_scale,3.2,,0.5534,0.8035,
loop_guidance_scale,3.6,,0.5520,0.8028,
loop_guidance_scale,4.0,,0.5523,0.8037,
loop_guidance_scale,4.5,,0.5425,0.8025,
loop_guidance_scale,5.0,,0.5456,0.8030,
loop_guidance_scale,5.5,,0.5477,0.8035,
loop_guidance_scale,6.0,,0.5399,0.8011,
loop_guidance_scale,7.0,,0.5277,0.7977,
loop_guidance_scale,8.0,,0.5220,0.7960,
loop_guidance_scale,9.0,,0.5176,0.7825,
loop_guidance_scale,10.0,,0.5236,0.7801,
loop_guidance_scale,11.0,,0.5169,0.7759,
loop_guidance_scale,12.0,,0.5093,0.7706,
